,Methyl_000,Methyl_001,Methyl_002,Methyl_003,Methyl_004,Methyl_005,Methyl_006,Methyl_007,Methyl_008,Methyl_009,Methyl_010,Methyl_011,Methyl_012,Methyl_013,Methyl_014,Methyl_015,Methyl_016,Methyl_017,Methyl_018,Methyl_019,Methyl_020,Methyl_021,Methyl_022,Methyl_023,Methyl_024,Methyl_025,Methyl_026,Methyl_027,Methyl_028,Methyl_029,Methyl_030,Methyl_031,Methyl_032,Methyl_033,Methyl_034,Methyl_035,Methyl_036,Methyl_037,Methyl_038,Methyl_039,Methyl_040,Methyl_041,Methyl_042,Methyl_043,Methyl_044,Methyl_045,Methyl_046,Methyl_047,Methyl_048,Methyl_049,Methyl_050,Methyl_051,Methyl_052,Methyl_053,Methyl_054,Methyl_055,Methyl_056,Methyl_057,Methyl_058,Methyl_059,Methyl_060,Methyl_061,Methyl_062,Methyl_063,Methyl_064,Methyl_065,Methyl_066,Methyl_067,Methyl_068,Methyl_069,Methyl_070,Methyl_071,Methyl_072,Methyl_073,Methyl_074,Methyl_075,Methyl_076,Methyl_077,Methyl_078,Methyl_079,Methyl_080,Methyl_081,Methyl_082,Methyl_083,Methyl_084,Methyl_085,Methyl_086,Methyl_087,Methyl_088,Methyl_089,Methyl_090,Methyl_091,Methyl_092,Methyl_093,Methyl_094,Methyl_095,Methyl_096,Methyl_097,Methyl_098,Methyl_099
Sample_0000,0.864339884109188,0.6249404843414861,0.8154611671912148,1.0,0.4195465249884844,0.5040795131953468,0.3948998852618385,0.6991400173556678,0.5509061334349591,0.857570396303902,0.8141896005082631,0.6305794822001486,0.5885947360524829,0.6769024313801705,0.5719899794253549,0.4876842950253376,0.5713616562806832,0.310406850783225,0.6861707930752647,0.3806121735234522,0.04700323714507314,0.2646030699521176,0.4682034663576394,0.25158718676532743,0.20818626258542808,0.499676973823782,0.08679369963069988,0.4112584937256012,0.10980769162231194,0.3354246216040102,0.39146064053918683,0.023516209440079906,0.0,0.640080287949121,0.1149325679743528,0.16781499191428434,0.5673759755787662,0.18615606707562737,0.21429091421055885,0.5798777754941382,0.46711836215505875,0.45296665340645736,0.005164509810231997,0.26365871328729545,0.3088321737732192,0.6438048191852346,0.04237098815384125,0.25964490370529514,0.11980103140270035,0.25902281630383917,0.48453205448405995,0.5279561286431633,0.22483129474991076,0.7659737693830011,0.37606251650427946,0.17412567230701642,0.4219132011848535,0.8543940339348879,0.3184157897377883,0.41772555110167997,0.1015905983984114,0.5228365372356406,0.11104293429403841,0.27366005883455563,0.11515615991467178,0.2267038430003889,0.0,0.1579484073035709,0.19636223572008943,0.21524985073361771,0.1688279655490506,0.48288240284581296,0.16915092378322025,,0.604000384668061,0.6553686572340419,0.3120724152676374,0.0,0.42482375914399484,0.42740798264030655,0.33667252461245833,0.5167737219041478,0.2051645126188813,0.6282040222361249,0.038157024368678905,0.19084110817021627,0.31017999802843416,0.34881157103090493,0.28006896830595673,,0.2233606712482578,0.11295327909231934,0.2944715357171507,0.12118590955210012,0.009809714541100335,0.02865185879044488,0.4310491771916173,0.09129694505511365,0.2704258652184409,0.4459198295240799
Sample_0001,0.5300078767188501,,,0.46083164040751495,0.5462358234023909,0.6295124819791147,0.5769479285059826,0.7715639892707075,0.8258692482532575,0.4095844385200592,0.40588765531614523,0.4688013390183181,0.5444147195553447,0.5399975917920756,0.6667807683741467,0.41103791419609736,0.4295035982822656,0.47751010091886614,0.8362797731780298,0.7831156523852679,0.5208939366811678,0.3297769228821205,0.25700718982605475,0.3989415034795268,0.5761953288812975,0.20092940735257478,0.2051825240981133,0.4141489887749399,0.06517450471149788,0.488773509312577,,0.3680144400076213,0.2590373874183507,0.4214148776369597,0.0,0.25507826362371144,0.6226287052087739,0.2580463585212007,0.24363260363354916,0.6018833065571928,0.4496782355336314,0.14164163263125484,0.18563976844480382,0.5587714901175789,0.5000750725451222,0.264912986974739,0.5112105219300429,0.09817071132313618,0.12676838571622248,0.43349651764627406,0.5867651312114974,0.19079640292937208,0.38348421614097855,0.04135660253650105,0.08975519152933065,0.42522057087503207,0.04729232256532358,0.6126063901044927,0.2081867872767107,0.28617335088702744,0.002765928353659859,0.0,0.3767634407967235,0.2153343835024016,0.3261113520888276,0.7683075207314822,0.6080502547484624,0.3650771136994312,0.32671776824777277,0.24764336044982957,0.24786476906482047,0.034115775934083103,,0.5537305577891667,,0.4804216045485521,0.1905731833389511,0.24873809349927078,0.35049492801949284,0.42665787222875884,0.20450614369263304,0.15684465405789558,0.6349807175301826,0.752070398139888,0.3644419809725413,0.4863613442099157,,0.05734040707630192,0.17317198567993214,0.0,0.6842370293984107,0.21981841056528456,0.4345080815220336,0.34135058172630245,0.17103714473874312,0.45982793815113193,0.5371983550855163,0.6199886541122992,0.06681050501600856,0.31041801518679046
Sample_0002,0.9307707495110364,0.5610394245105892,0.23834955845295197,0.7575324127673315,0.6701768557457967,0.2933715226404825,0.3635223986288551,0.3274258254800063,0.6583112346070636,0.767597073972988,0.4787488667595181,1.0,0.41061136965395595,0.6165282221301578,,0.6897541187482625,0.500734555915065,0.7026024864716183,0.5123422582438906,0.5615500001427275,0.08764087152732328,0.3346742287476468,0.5512016001452285,0.4791482366176246,0.26027977357654736,0.23303744002747187,0.23163294007523477,0.682443982398836,0.13015290313527267,0.6264034696814385,0.39389854151830256,0.05165644961417226,0.3814375264526625,0.48771375039182396,0.14687503269225755,0.10937603607987981,0.5556503175880672,0.4699216258411667,0.3877629893636274,0.2543900760628792,0.4042656035135988,0.5926690307780973,0.15166677818595684,,0.4712773190597843,0.0,0.048470193941998876,0.09654407856937491,0.05103747447095715,0.195551890291737,,0.177607851181056,0.40005910964157637,0.3441316952157567,0.4845107748261215,0.5255619151194107,0.33257100511462434,0.01370756599572552,0.34574338129151416,0.2794071139619888,0.4575602461937846,0.5293568591380782,0.06485315770291716,0.14436677596035424,,0.3332799706403495,0.21997046628773242,0.3745904107919886,0.30045234779656754,0.5065388757157355,0.3431831802672013,0.34103776998986346,0.23033846795343216,0.14859027644832964,0.2313451599157069,0.0,0.30400860333564134,,0.04402621143932982,0.5856630688427003,0.4671686929346041,0.1617794188113249,0.06696645953644231,0.11371765805808758,0.0,0.1902795809884572,0.4853030785345953,0.11331132006929437,0.42556020770364983,0.1081661163121656,0.18058881846075275,0.3435185068607341,0.15499618580595648,0.059569873010801265,0.6085304779218282,0.0,0.0760594949188391,0.3784311681914067,0.6501998552204836,0.16141210968620495
Sample_0003,0.5054408727807672,1.0,0.6280234484275193,0.5949891091240198,,0.6009454756074448,0.45395749280750697,0.5167584507300311,0.5849235619614745,0.8888209260272135,,0.6813533886212163,0.4568456878312742,0.6438903470890562,,0.6948451972108901,0.7688560893143794,0.7047091320092844,0.4242617185124918,0.6009736074463418,0.03214382260347645,0.46843251670876646,0.5898278354342097,0.21841084936070027,0.18769724420366657,0.32083298156145984,0.402563014453209,0.317268932282817,0.43580643323930685,0.37828226898039236,0.44692815573057476,0.4358449239966925,0.1705178914620964,0.08643527843057003,0.04618367491867921,0.0,0.750380198188314,0.2661085200552212,0.34384073102048746,0.1824060800440438,0.3977431203427849,0.5961123988388993,0.38613850992618814,0.27750170459164614,0.2977443801019392,0.045765354752292514,0.316019061902819,0.19477983719839992,0.19086671738475222,0.3959661558580973,0.23089659847599833,0.38471456172820956,0.6892644112036116,0.10997727442740099,0.4145879872087437,0.3142785374419115,0.4421011037000262,0.13944609921922807,0.3992490426987239,0.22096537824463658,0.6692243497284787,0.3119614722396589,0.3135473163419862,0.22985492576637687,0.46683387758472367,0.5579499195323022,0.2008834722106515,0.4351591652929871,0.16035273617679274,,0.25786958145663275,0.16875478489773288,0.33719685385461323,0.3118215253362009,0.18594708612219923,0.416723836530807,0.3775310737970051,0.1784404982975451,0.24471435759554136,0.0,0.09753290763963562,0.0,0.15405450836559192,0.2953296692435081,0.18503274235941086,0.8051336405960342,0.7270345653601633,0.13950557338487238,0.13148738397395865,0.20625710622540716,0.35236243348168306,0.41177637429211855,0.34785813068427585,0.539085399624326,0.060291281499266,0.21657055822741322,0.1989826427241381,0.3476546329258481,,0.28619822772292414
Sample_0004,0.44574282845470825,0.4427610641357303,0.38118787853528374,0.5162019488400537,0.3970556407862209,0.3812519024122417,0.7760341322274809,0.32681697124784814,0.5261994697057263,0.741137270103263,0.5681897849832148,,0.8629040559122373,0.45178305207529695,0.6076600860632865,0.5347566210669893,0.6312619258200474,0.42095482039162607,0.5780206774728014,,0.34841102823908754,0.187467452237508,0.31181228931355337,0.6856798681043512,0.3231327203135154,0.1345607924940807,,0.31002487733473694,0.12323676808273983,0.22252708923439998,0.3432853898034198,0.09438296103469292,0.3229324264958128,0.4002946671892284,0.18059392795113793,0.33524403003856806,0.1277462138326963,0.1808859331302333,0.17547296500617413,0.35229933431016014,0.31536756431265106,0.19214079593640215,0.24871017431459497,0.34384519672166614,0.09808043265534928,0.33786049326866197,0.2810935915778427,0.3388532621569347,0.4316805959750865,0.33353743007586323,0.6857121172246337,0.2942006509190995,0.3855128365592121,0.4621747339944019,0.29607710331454523,0.15636885027106326,0.08361119816205526,0.6027230816094761,0.36380527440656507,0.4706397020105996,0.0,0.0,0.047407983996301584,0.45767404415386653,0.27814570619421747,0.12017908352076256,0.1546429200642855,0.2152858760291804,0.6421897128310129,0.41035462329434885,0.11763383760989285,0.514120592624352,0.5198903453076419,0.305316955895486,,,0.0,0.36603413584205213,0.14251300650453427,0.6671864073800484,0.0,0.5641342315377531,0.3021730234507048,0.2967624433083996,0.1020940890435574,0.16776748435774463,0.07277703980661572,0.0,0.11515572945212363,0.17790594876410804,0.28804377677015947,0.3226744406187907,,0.11748187841110978,,0.33928555983458586,0.32566193457207254,0.24222893321013705,0.03719000664552434,0.13381260430213923
Sample_0005,0.37219145048804864,0.7888067838829879,0.8015356927298833,0.40797819838687904,0.2052804911045892,0.6339413304724346,0.6512332507891203,0.5699514096480914,0.6089296861096954,0.6639346223776444,0.6046952586355608,0.6904993260280831,0.39324628582864146,0.9250885005235425,0.8242616687528632,0.6126888270008186,0.519050297398189,0.7901798755360386,0.5391154004892276,,0.35216068455764465,0.43755239131444124,0.4290540548513829,,0.591742937233036,0.4176857725611136,0.18342120390869654,0.14257618673467443,0.4206056223114105,0.6000878609617255,0.40266040109376755,0.46272547065642533,0.2853818387198855,0.5047376206834666,0.4300667145632678,0.2776546409532464,0.3912862443401521,0.24921076166745024,0.2723021537209374,0.39935435137680486,0.4054002553562283,,0.2356509892997595,0.16624724942244892,0.4995334453963248,0.2381176619499646,0.4265964439527843,0.48167120575997047,0.45501845234369326,0.3955609967792825,0.18027852264481015,0.19930384725247455,0.3551402113730878,0.0,0.3133172549317196,0.12012973848537606,0.04072360652946126,0.1950301532828702,0.14029403533636264,,0.18017194942263842,0.0,0.29592137265727886,0.0,0.18270387840706498,0.37613649082747164,0.4214124368359342,0.0,0.20967524541825402,0.071892898271452,0.281418356418763,0.3129260326481479,0.40906712962314407,0.39274310179669475,0.8400028340200472,0.24731716345869947,0.1749008837673772,0.07606784458405269,0.339957532724942,0.24440131248991614,0.34788111611836997,,0.5589313455374855,0.6471038746079666,0.17533476088097386,0.48798551243011923,0.17107752104956314,0.5045751902323182,0.2371053604110255,0.06346497114030604,0.49829048694178035,0.36465453850787555,0.5334875879431848,0.6585710336072218,0.007131931065094209,0.40751863741732086,0.268298108541818,0.2568794600437584,0.21750387839910124,0.27142428345337344
Sample_0006,0.2000600959710954,0.1920238388559305,0.006628527199703457,0.0,0.41116003223678343,0.26060331023818084,0.4636552278927444,0.26392975124692564,0.1583728640258306,0.4897697413799202,0.3128355056777632,0.30643128427969313,0.34654833995110024,0.3989367496797783,0.403955657084631,0.17243384288077399,0.24014041061490354,0.0,0.19623641985864648,0.48833412618255423,0.47147345157790194,0.012284400743237181,0.375629209323566,0.22283706463147496,0.0,0.20420255791331055,0.1436412762228945,0.4847495297843226,0.09818092219838073,0.0,,0.33995647138805357,,0.26460485251845167,0.1110071714666299,0.018274519060551914,0.08569647203376778,0.014374936755745568,0.10823900285431018,0.11488118813729437,0.21784335735531954,0.1651694772290147,0.1346325749942209,0.1423492367797142,0.47482527638779126,0.388976420621211,0.09389461419135889,0.4910501556730177,0.39577465160820374,0.3676474339017297,,0.32992657365272654,0.1795239567997333,0.6412736678114067,0.1340101528770291,0.27608178366297825,0.3803466327970825,0.3184284206830639,0.1660673611345105,0.12889933647516638,0.5978337648293113,0.0,0.5287591502247749,0.46711548137393305,0.41725896660931616,0.21805929424361614,0.0227670107568842,0.12552775314810677,0.0772510378528957,0.5300192039837885,0.2522064749413441,0.0,0.1495228886596425,0.4885895476941008,0.18768045590024818,0.44194706618953267,0.4194205968810648,0.12452766196843801,0.2569574071903372,0.35623810763404895,0.07531801666001475,0.3117218132779148,0.30061190293220685,0.18797975640852746,0.09877868844853793,0.44002584082717583,0.5923953662865811,,0.12001826934632848,0.22769162917239233,0.6133116604320848,0.012531548077976268,0.18705201963923812,0.15302368173047076,0.5512587246728511,,0.43769599826594335,0.40228875305379735,0.2997709577632235,0.09910363555464884
Sample_0007,0.476418235195448,0.5998053111129461,0.5312204612113938,0.41903138306603077,0.4883605458059312,0.6227569313220754,0.585498300136824,0.5751330074527,0.6952401232866107,0.409936110151785,0.8062626586247261,0.4036619854201507,0.354035012165301,0.7903069948941923,1.0,,0.47326198242448325,0.5273638577950707,0.35574617732806846,0.5720436401720944,0.23649964956147226,0.02323100164643034,0.1992070060768021,0.20323246343291057,0.4055470401846041,,0.10403166647290996,0.3951497207937366,0.28474153035977934,0.2413802393086478,0.23518086604492086,0.15010758671915403,0.3793910436936874,0.08594805602220204,0.29952888637367237,0.1514961886645684,0.20550486290411246,0.47554928408493147,0.7510823395853573,0.061629380882313956,0.004913950630735325,0.09943165727946279,0.249992105466165,,0.23625896642869362,0.27411749562585164,0.6069000069604413,0.16281566522321272,0.22145010325275047,0.020378863820229715,0.3965282726274738,0.21071357776747465,0.16430871967211985,0.22270284673737153,0.0,0.1306751309080635,0.3051802203993842,0.171610562076351,0.504693369012094,0.2160827898729147,0.09344697629118487,0.0,0.2980618843746178,0.34797176912814026,0.16908310803285978,0.20520975546097342,0.26819715640204034,0.36701453998254707,0.19905835593937365,0.6311864082564104,0.18062221951410207,0.38689139958202134,,0.2513493183795905,0.42113627439292245,0.17287200799702923,,0.2819693188435547,0.2549259278132771,0.1511271236484679,0.566834882895696,0.18271737393125753,0.35905193270715485,0.4166211085924189,,0.35578678760033106,0.2007383905514893,0.22055052668196015,0.7814484804065652,0.3724339747202089,0.48415135749744803,0.3931915633104822,0.4232875970622814,0.6332551064656089,0.0,0.28211259148207535,0.48915263013759147,0.05734401341419294,0.10690109567075073,0.0
Sample_0008,0.4792316111936585,0.5640203446523633,,,,0.9792744883805743,0.599501774002715,0.37560972787431723,0.883145612992119,0.5363808408916456,0.6444311154215608,0.529552400659875,0.6082835455876028,0.9481247881730723,0.7868428916859255,0.8667264037244136,0.3714667610907058,0.5080507019953936,0.49523727341307566,0.5537019119901052,0.3521999972049237,0.4842896940474979,0.15596622340474464,0.168783523653138,0.5237382055270556,0.0,0.07135307386898199,0.19584813551953556,0.6139828796789465,0.4672517474290942,0.28016625405841844,0.08869939145850966,0.11451850727239501,0.23696892092551292,0.0,0.23067048348571267,0.11617313873719869,0.3211987212413052,0.14496148486524815,0.281666381456011,0.2205477177884268,0.3939890098991868,0.5796537657916235,0.12265146730305078,0.301518921799365,0.4852856144558982,0.13960260074788128,0.02165401189922804,0.3590097383685924,0.284197013236853,0.1783003264193079,0.16221016468558686,0.38366454970353886,0.01052280480426876,,0.5492200668148106,0.05457372764486822,0.1848371135629696,0.5050468048475452,0.23133905148543216,0.37383491998257123,0.27193200829283243,0.11182422603962318,0.6690142273761563,0.07919989463412416,0.2649392430238313,0.0,0.5200440525492072,0.1787843003647852,0.10650344414751986,0.2922580553543493,0.020036408015264788,,0.19145505551549769,0.19305162438107787,,0.5609899060540167,0.051184289919629464,0.6101135896888696,,0.3182061616343202,0.2048649023213207,0.5123200905611351,0.19855702227800137,0.08107096619156837,0.24456934844059333,0.18095358753943597,0.5409509557354549,0.5867860889482052,0.35730604334954774,0.16023297255912738,0.30811919319716624,0.32932184483811394,0.4502642958469847,0.3161724454580068,0.20037369063667473,,0.40783473882528287,0.5460805381062941,0.2253211616544059
Sample_0009,0.6436015342693481,0.5682102053450211,0.46426976864890124,0.43148937409927335,0.6643389594956661,0.3224447976593583,0.6169277672434572,0.5367598176470044,0.45255728839088954,0.6428987768410551,0.4556906998569391,0.5065862322733868,0.48117034008526616,0.7870180341150919,0.6952921736715969,0.7155801207675139,0.5582662308485502,0.8506014951536776,0.4604507300245535,0.7291447337402654,0.16725907189004735,0.3994588647989114,0.26509085302556845,0.49956393967713686,0.0,0.4734777465426581,0.1958766419195076,0.0,0.6467838115252982,0.33805508791665917,0.0,0.3784346011430152,0.2538966605645759,0.04124571032000751,0.2228835071826267,0.40374170275797755,0.06699100486703286,0.36452516296751225,0.38120509953999193,0.7005202993321055,,0.2978948025137184,,0.407115755344467,0.3106938142313722,0.5943589911907601,0.0,0.0,0.19653031946642546,0.5160267728828623,0.050462367894670825,0.769630017963326,0.31877381904188556,0.3019728810786807,0.0,0.07813530558746834,0.42697057810298966,0.0826984829713488,0.28675226585448593,0.15852215646963178,0.11137390253006016,0.5483718958299338,0.4675613424835376,,0.19614757221295717,0.0,0.4549514151581964,0.12524004180826417,0.38693992678188077,,0.38305671561395976,0.2702497731099393,0.37107631235735095,0.3147689843881385,0.5313683140830257,0.8162960218358328,0.7835886189064629,0.03262279116217237,0.2901520651882434,0.3179302569515358,0.7754472946675273,0.21692048863265545,0.08972022096997331,0.3470902912582165,0.2593117888269277,0.1666240669020057,0.32666019015233333,0.4400533531090816,0.22088391183629713,0.1157411802223387,0.1611787466526557,0.5528152219042116,0.44577458608599596,0.3702587605106876,,0.23998001132641067,0.12371639034666268,0.049411349055831735,0.22317977747155573,0.5755005512477539
Sample_0010,0.026164525160183486,0.30300838761984317,0.4249550465172075,0.14867629140369035,0.7057676162762809,0.6877129747002573,0.17010377812063918,0.17853295642845107,0.6116382249987312,0.5736795467180198,0.372818941517092,0.2344286919616784,0.03863684071395837,0.0613104744172694,,0.20403393855431456,0.5051680320912253,0.592700912909057,0.031078857718884755,,0.3983818984425863,0.3227326416097991,0.31350023989166736,0.3537848622426716,0.2357495366245865,0.16993140406175,0.07052906812480833,0.23618220094556291,0.34387911109939323,0.52981477324568,0.0010337100876083305,0.3630472745247221,0.5850684819452613,0.26025945252082633,0.2695145469802682,0.45253442679087774,0.3841086947568762,0.23630909820325918,0.23581444252308453,0.46246463161373585,0.0,0.33719781519646996,0.34403491707298495,0.19926496103113547,0.08924004210289622,0.3114161122001009,0.23845986048819745,0.08650970110411949,0.3973759753233185,0.16734423728393205,0.4540722260207578,0.3508150369466825,0.3565839266952572,0.3892726913583429,0.23703081145486565,0.5635495155052487,0.23459641948765964,0.27974881009728014,0.5771206703865124,0.21668954133441587,0.8493633566063828,0.4954716794746528,0.3445359661205913,0.1888555953501208,0.23438634735241617,0.26333789345437564,0.290427153161831,0.4547803854483763,,0.1671026700402621,0.42307947658963097,0.2846361368648968,0.5097441381718689,0.006712019274675685,0.16208186362632818,0.7760126769862052,0.2537449881391211,0.278687793299848,0.27693042001460005,0.25501686662181017,0.0748678950200376,0.7335673488524234,0.35069543188584384,0.4650859768697023,0.053316381031660226,0.28969768287572045,0.06444291374743699,0.02599454447338534,0.1282402780994375,0.04822668128815058,0.6539743086532696,0.17666216484885156,0.15381577832731497,0.1906652663498673,0.30380679371704666,0.16788948660779413,0.2629519308258994,0.1398041156882715,0.14417440009778024,0.17061819559755684
